,code,probability (%)
0,0,29.3367036255496
1,1,7.6246647727413945
2,2,7.481750464160819
3,3,2.199886165646383
4,4,8.312144733669866
5,5,1.515637310824951
6,6,0.9315527453217312
7,7,0.6653593114264339
8,8,9.276257086685606
9,9,2.457877560962273
10,10,0.937766410912191
11,11,0.6002400960384154
12,12,0.4878970221629024
13,13,0.33205828915417096
14,14,0.2647021541535869
15,15,0.20206840500175227
16,16,8.587782939262661
17,17,3.9247997335580194
18,18,2.0733759342246216
19,19,1.325250597133263
20,20,0.9755454977021865
21,21,0.6941907197661673
22,22,0.5331325076614496
23,23,0.39668041129495274
24,24,0.42178362028041033
25,25,0.34473416695870895
26,26,0.2644536075299685
27,27,0.19834020564747637
28,28,0.17249135679116367
29,29,0.13172971051774746
30,30,0.11308871374636811
31,31,0.09718172983479105
32,32,1.3694918961373368
33,33,1.1097606744561177
34,34,0.5212022697277668
35,35,0.3984202376602815
36,36,0.3069550801687135
37,37,0.2463097040058259
38,38,0.21076753682839597
39,39,0.1801963021233338
40,40,0.14316285520419347
41,41,0.12352767193834055
42,42,0.09941864944735658
43,43,0.09171370411518645
44,44,0.08077765267597722
45,45,0.07307270734380708
46,46,0.06785322824782088
47,47,0.059899736292032345
48,48,0.07332125396742549
49,49,0.06785322824782088
50,50,0.07033869448400479
51,51,0.05144915108900703
52,52,0.04399275238045529
53,53,0.04399275238045529
54,54,0.040264553026179414
55,55,0.03057123470506215
56,56,0.0320625144467725
57,57,0.028831408339733407
58,58,0.029079954963351803
59,59,0.022866289372892014
60,60,0.02361192924374719
61,61,0.017149717029669012
62,62,0.019635183265852924
63,63,0.017646810276905792
64,64,0.06039682953926912
65,65,0.09270789060966
66,66,0.07481253370913583
67,67,0.06337938902268982
68,68,0.05915409642117716
69,69,0.04523548549854725
70,70,0.044986938874928856
71,71,0.03976745977894264
72,72,0.04101019289703459
73,73,0.03554216717742998
74,74,0.035293620553811585
75,75,0.026345942103549496
76,76,0.023114835996510406
77,77,0.022617742749273625
78,78,0.026345942103549496
79,79,0.024854662361839145
80,80,0.019635183265852924
81,81,0.019138090018616143
82,82,0.016901170406050617
83,83,0.016155530535195445
84,84,0.016155530535195445
85,85,0.014912797417103487
86,86,0.01193023793368279
87,87,0.011433144686446007
88,88,0.015409890664340271
89,89,0.00994186494473566
90,90,0.009196225073880484
91,91,0.0077049453321701355
92,92,0.008450585203025308
93,93,0.009444771697498876
94,94,0.010438958191972441
95,95,0.01019041156835405
96,96,0.017646810276905792
97,97,0.015409890664340271
98,98,0.010936051439209225
99,99,0.009444771697498876
100,100,0.01342151767539314
101,101,0.011433144686446007
102,102,0.0086991318266437
103,103,0.011184598062827615
104,104,0.007953491955788526
105,105,0.00671075883769657
106,106,0.007207852084933352
107,107,0.007953491955788526
108,108,0.008947678450262092
109,109,0.005219479095986221
110,110,0.007207852084933352
111,111,0.007207852084933352
112,112,0.00497093247236783
113,113,0.004722385848749438
114,114,0.004473839225131046
115,115,0.006462212214078177
116,116,0.007207852084933352
117,117,0.00497093247236783
118,118,0.003976745977894263
119,119,0.00497093247236783
120,120,0.007207852084933352
121,121,0.00671075883769657
122,122,0.004225292601512654
123,123,0.003976745977894263
124,124,0.005965118966841395
125,125,0.003976745977894263
126,126,0.005219479095986221
127,127,0.00497093247236783
128,128,0.005219479095986221
129,129,0.006959305461314961
130,130,0.006959305461314961
131,131,0.006959305461314961
132,132,0.007207852084933352
133,133,0.006462212214078177
134,134,0.004722385848749438
135,135,0.006213665590459786
136,136,0.004473839225131046
137,137,0.0034796527306574804
138,138,0.0034796527306574804
139,139,0.0019883729889471316
140,140,0.0054680257196046125
141,141,0.0032311061070390886
142,142,0.004225292601512654
143,143,0.004225292601512654
144,144,0.0034796527306574804
145,145,0.002236919612565523
146,146,0.002485466236183915
147,147,0.0029825594834206976
148,148,0.002236919612565523
149,149,0.002485466236183915
150,150,0.0017398263653287402
151,151,0.0012427331180919574
152,152,0.0014912797417103488
153,153,0.0017398263653287402
154,154,0.0009941864944735658
155,155,0.0032311061070390886
156,156,0.0019883729889471316
157,157,0.0017398263653287402
158,158,0.002236919612565523
159,159,0.0012427331180919574
160,160,0.0014912797417103488
161,161,0.0012427331180919574
162,162,0.0009941864944735658
163,163,0.0012427331180919574
164,164,0.0009941864944735658
165,165,0.00024854662361839145
166,166,0.0014912797417103488
167,167,0.0007456398708551744
168,168,0.002236919612565523
169,169,0.0017398263653287402
170,170,0.0009941864944735658
171,171,0.0012427331180919574
172,172,0.0014912797417103488
173,173,0.0014912797417103488
174,174,0.0017398263653287402
175,175,0.0004970932472367829
176,176,0.0012427331180919574
177,177,0.0007456398708551744
178,178,0.0009941864944735658
179,179,0.0007456398708551744
180,180,0.0004970932472367829
181,181,0.0019883729889471316
182,182,0.0009941864944735658
183,183,0.0019883729889471316
184,184,0.0009941864944735658
185,185,0.0014912797417103488
186,186,0.0009941864944735658
187,187,0.00024854662361839145
188,188,0.0012427331180919574
189,189,0.0014912797417103488
190,190,0.0004970932472367829
191,191,0.0004970932472367829
192,192,0.0009941864944735658
193,193,0.0014912797417103488
194,194,0.0007456398708551744
195,195,0.0014912797417103488
196,196,0.0029825594834206976
197,197,0.0017398263653287402
198,198,0.0017398263653287402
199,199,0.0014912797417103488
200,200,0.0014912797417103488
201,201,0.0009941864944735658
202,202,0.002236919612565523
203,203,0.0012427331180919574
204,204,0.0009941864944735658
205,205,0.0017398263653287402
206,206,0.0014912797417103488
207,207,0.0014912797417103488
208,208,0.002485466236183915
209,209,0.0007456398708551744
